epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3559,1.45976,5.59075,0.88199,0.58378,0.06922,0.06479,0.04017,1.2453,2.62883,0.84864,0.00332737,0.00332737,0.00332737
2,177.374,1.36917,3.98667,0.87197,0.5205,0.2135,0.17899,0.11448,1.14598,2.02508,0.85453,0.00665908,0.00665908,0.00665908
3,268.221,1.36298,3.16565,0.88269,0.3621,0.30218,0.21439,0.13938,1.1857,1.88337,0.86494,0.00998428,0.00998428,0.00998428
4,359.301,1.31529,2.35664,0.87933,0.50815,0.29887,0.27332,0.1783,1.12083,1.69768,0.86331,0.00997803,0.00997803,0.00997803
5,450.508,1.25787,1.93192,0.87032,0.5075,0.32817,0.29534,0.2018,1.09556,1.61641,0.85975,0.00996097,0.00996097,0.00996097
6,542.512,1.1872,1.73853,0.8665,0.59329,0.34801,0.34827,0.24074,1.00728,1.4204,0.84759,0.00993906,0.00993906,0.00993906
7,634.285,1.15594,1.62292,0.85437,0.44507,0.41712,0.38071,0.26916,0.97813,1.33334,0.83686,0.00991232,0.00991232,0.00991232
8,726.45,1.14205,1.58609,0.85522,0.42248,0.45901,0.4006,0.2812,0.97006,1.32381,0.83775,0.00988079,0.00988079,0.00988079
9,824.606,1.13399,1.52219,0.8462,0.54054,0.40761,0.4125,0.29217,0.93863,1.30512,0.83693,0.00984449,0.00984449,0.00984449
10,920.522,1.09876,1.47644,0.84639,0.50997,0.44424,0.42688,0.30835,0.93752,1.24256,0.83197,0.00980345,0.00980345,0.00980345
11,1013.77,1.07813,1.42883,0.84341,0.47896,0.46356,0.43119,0.31097,0.92529,1.25427,0.82823,0.00975773,0.00975773,0.00975773
12,1106.93,1.06973,1.40612,0.84487,0.61206,0.42463,0.43547,0.31131,0.92654,1.22504,0.82933,0.00970736,0.00970736,0.00970736
13,1200.06,1.06521,1.38678,0.84115,0.53894,0.46733,0.48701,0.35082,0.91747,1.14155,0.82843,0.00965239,0.00965239,0.00965239
14,1292.67,1.05935,1.35086,0.84145,0.53762,0.48163,0.49262,0.35376,0.89736,1.136,0.82511,0.00959289,0.00959289,0.00959289
15,1385.26,1.05311,1.33769,0.84154,0.59726,0.44703,0.48527,0.34895,0.89899,1.14429,0.82782,0.00952889,0.00952889,0.00952889
16,1477.69,1.02664,1.29273,0.8399,0.55478,0.47285,0.50996,0.36546,0.87992,1.0896,0.8227,0.00946048,0.00946048,0.00946048
17,1570.27,1.01867,1.2733,0.83776,0.59646,0.48853,0.51202,0.37663,0.87462,1.07758,0.82546,0.00938772,0.00938772,0.00938772
18,1665.76,1.01459,1.25729,0.83755,0.56265,0.46094,0.49933,0.36563,0.87331,1.09012,0.82306,0.00931067,0.00931067,0.00931067
19,1758.89,1.00895,1.2469,0.83439,0.59295,0.48858,0.51811,0.37606,0.8618,1.05806,0.82061,0.00922942,0.00922942,0.00922942
20,1848.18,1.02402,1.2302,0.83198,0.58375,0.50524,0.53186,0.38967,0.85906,1.02958,0.82156,0.00914405,0.00914405,0.00914405
21,1942.49,1.01262,1.21713,0.83329,0.52852,0.54191,0.55084,0.40707,0.86495,1.01256,0.82075,0.00905463,0.00905463,0.00905463
22,2037.29,1.00212,1.20535,0.83266,0.54381,0.54612,0.55945,0.41299,0.85953,1.01924,0.82079,0.00896127,0.00896127,0.00896127
23,2130.03,1.00016,1.19132,0.82876,0.61675,0.51379,0.56687,0.41482,0.84689,0.99024,0.81945,0.00886404,0.00886404,0.00886404
24,2222.99,0.98418,1.15856,0.82901,0.59896,0.55774,0.59505,0.43796,0.85041,0.95314,0.82063,0.00876305,0.00876305,0.00876305
25,2316.07,0.96954,1.12724,0.8295,0.59749,0.55989,0.60104,0.43988,0.83517,0.9362,0.81634,0.00865839,0.00865839,0.00865839
26,2408.87,0.98145,1.14796,0.82944,0.62997,0.56937,0.60359,0.45267,0.82352,0.92078,0.81726,0.00855018,0.00855018,0.00855018
27,2501.46,0.95926,1.11427,0.83026,0.65778,0.55688,0.61969,0.46326,0.8224,0.88542,0.81694,0.00843851,0.00843851,0.00843851
28,2594.49,0.97423,1.11928,0.82801,0.66935,0.56654,0.61658,0.45939,0.82869,0.89303,0.8149,0.00832349,0.00832349,0.00832349
29,2687.19,0.9704,1.10896,0.82696,0.68325,0.54521,0.62817,0.47214,0.82218,0.88124,0.8161,0.00820525,0.00820525,0.00820525
30,2789.87,0.95855,1.09357,0.82804,0.71501,0.55108,0.641,0.47919,0.82119,0.85398,0.81403,0.00808389,0.00808389,0.00808389
31,2886.77,0.96807,1.06118,0.82882,0.71888,0.56777,0.64853,0.48414,0.81318,0.83365,0.81441,0.00795954,0.00795954,0.00795954
32,2979.46,0.94389,1.05359,0.82698,0.6555,0.58091,0.6564,0.49492,0.80788,0.82186,0.81296,0.00783231,0.00783231,0.00783231
33,3072.21,0.93986,1.03122,0.82182,0.71333,0.57416,0.66415,0.49829,0.80274,0.8041,0.81194,0.00770234,0.00770234,0.00770234
34,3165.42,0.94136,1.04111,0.8227,0.71908,0.58749,0.67376,0.50733,0.79681,0.79473,0.81195,0.00756976,0.00756976,0.00756976
35,3258.2,0.93984,1.01765,0.82425,0.6867,0.60299,0.67367,0.5032,0.79585,0.78012,0.81009,0.00743468,0.00743468,0.00743468
36,3350.87,0.94077,1.02933,0.82352,0.67557,0.61374,0.68542,0.51867,0.7982,0.76973,0.81206,0.00729725,0.00729725,0.00729725
37,3443.98,0.94087,1.01423,0.82354,0.74227,0.60205,0.69276,0.52208,0.79356,0.78231,0.81142,0.00715761,0.00715761,0.00715761
38,3536.68,0.93626,0.99805,0.82489,0.74456,0.6025,0.69368,0.52447,0.79118,0.75606,0.81109,0.00701588,0.00701588,0.00701588
39,3629.26,0.94093,0.98402,0.82322,0.66362,0.63655,0.6912,0.52378,0.78854,0.75858,0.81218,0.00687222,0.00687222,0.00687222
40,3721.9,0.92728,0.96979,0.82208,0.69512,0.6156,0.70077,0.53223,0.77902,0.74099,0.80928,0.00672675,0.00672675,0.00672675
41,3814.52,0.92,0.9656,0.82257,0.69188,0.63903,0.71017,0.54076,0.77328,0.72494,0.80867,0.00657963,0.00657963,0.00657963
42,3907.93,0.92146,0.94696,0.82066,0.73046,0.64222,0.72221,0.54863,0.77412,0.70342,0.80791,0.00643101,0.00643101,0.00643101
43,4003.4,0.91257,0.93398,0.8209,0.76792,0.62691,0.72334,0.54934,0.77012,0.70531,0.80778,0.00628101,0.00628101,0.00628101
44,4098.11,0.92485,0.96078,0.82338,0.76002,0.6257,0.72695,0.55274,0.7651,0.69515,0.80803,0.00612981,0.00612981,0.00612981
45,4192.1,0.91096,0.92686,0.82149,0.79441,0.63844,0.74394,0.56457,0.76253,0.68137,0.80852,0.00597754,0.00597754,0.00597754
46,4285.3,0.9116,0.91263,0.82167,0.76833,0.63421,0.73514,0.56237,0.76188,0.67199,0.80796,0.00582435,0.00582435,0.00582435
47,4378.86,0.91073,0.90988,0.81873,0.70479,0.66957,0.74018,0.56331,0.76248,0.66484,0.80773,0.0056704,0.0056704,0.0056704
48,4474.84,0.89309,0.90024,0.81796,0.75993,0.64159,0.7415,0.56586,0.7582,0.66455,0.80668,0.00551584,0.00551584,0.00551584
49,4567.61,0.90173,0.8784,0.81815,0.78696,0.64879,0.74211,0.57117,0.74992,0.65659,0.80613,0.00536081,0.00536081,0.00536081
50,4660.38,0.90585,0.88648,0.81828,0.74973,0.66563,0.75143,0.57685,0.75341,0.65011,0.80635,0.00520548,0.00520548,0.00520548
51,4753.33,0.89536,0.87286,0.8199,0.77376,0.65232,0.75015,0.57633,0.7497,0.64914,0.80557,0.00505,0.00505,0.00505
52,4846.59,0.89786,0.87127,0.8169,0.80372,0.65919,0.76463,0.58687,0.75037,0.63265,0.80595,0.00489452,0.00489452,0.00489452
53,4939.68,0.88846,0.85855,0.81588,0.76018,0.68725,0.75961,0.5844,0.75117,0.61776,0.805,0.00473919,0.00473919,0.00473919
54,5032.94,0.88042,0.8441,0.81598,0.78097,0.67736,0.77284,0.59513,0.74556,0.6058,0.80484,0.00458416,0.00458416,0.00458416
55,5126.21,0.88451,0.83997,0.81806,0.81243,0.6618,0.77685,0.59641,0.73977,0.60487,0.80487,0.0044296,0.0044296,0.0044296
56,5219.14,0.88036,0.82763,0.81669,0.79165,0.69027,0.78232,0.60138,0.74003,0.60208,0.80511,0.00427565,0.00427565,0.00427565
57,5312.91,0.87376,0.81596,0.81406,0.82238,0.67444,0.77565,0.59594,0.73932,0.59462,0.80442,0.00412246,0.00412246,0.00412246
58,5406.35,0.87785,0.8136,0.81494,0.7951,0.67939,0.77657,0.59838,0.73603,0.58754,0.804,0.00397019,0.00397019,0.00397019
59,5500.09,0.87692,0.80653,0.81518,0.79412,0.68986,0.77855,0.60359,0.73448,0.58432,0.80376,0.00381899,0.00381899,0.00381899
